2026-09-06T04:45:02Z p1_start  n_tasks=30 k=16 conc=6 phase=p1_map
2026-09-06T04:59:17Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=4 seed=3 duration_ms=27112 success=True reward=1.0 steps=8 error=None
2026-09-06T04:59:35Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=0 seed=3 duration_ms=44752 success=True reward=1.0 steps=15 error=None
2026-09-06T04:59:46Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=7 seed=3 duration_ms=28474 success=True reward=1.0 steps=8 error=None
2026-09-06T04:59:46Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=8 seed=3 duration_ms=28697 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:10Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=6 seed=3 duration_ms=52554 success=True reward=1.0 steps=18 error=None
2026-09-06T05:00:12Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=11 seed=3 duration_ms=26128 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:14Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=10 seed=3 duration_ms=28513 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:28Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=9 seed=3 duration_ms=52664 success=True reward=1.0 steps=19 error=None
2026-09-06T05:00:37Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=12 seed=3 duration_ms=27434 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:42Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=13 seed=3 duration_ms=29628 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:43Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=14 seed=3 duration_ms=28252 success=True reward=1.0 steps=8 error=None
2026-09-06T05:00:54Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=15 seed=3 duration_ms=25739 success=True reward=1.0 steps=8 error=None
2026-09-06T05:01:26Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=5 seed=3 duration_ms=155461 success=False reward=0.0 steps=50 error=None
2026-09-06T05:01:44Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=2 seed=3 duration_ms=173624 success=False reward=0.0 steps=50 error=None
2026-09-06T05:01:44Z p1_task_done  task_idx=3 task_id=3 k=16 sr=0.875 n_errors=0 wall_s=173.6
2026-09-06T05:02:53Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=5 seed=4 duration_ms=68864 success=True reward=1.0 steps=21 error=None
2026-09-06T05:02:56Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=4 seed=4 duration_ms=71655 success=True reward=1.0 steps=21 error=None
2026-09-06T05:03:04Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=0 seed=4 duration_ms=79947 success=True reward=1.0 steps=24 error=None
2026-09-06T05:03:43Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=2 seed=4 duration_ms=118949 success=True reward=1.0 steps=32 error=None
2026-09-06T05:03:46Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=1 seed=4 duration_ms=122451 success=True reward=1.0 steps=30 error=None
2026-09-06T05:04:33Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=8 seed=4 duration_ms=89124 success=True reward=1.0 steps=24 error=None
2026-09-06T05:04:58Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=6 seed=4 duration_ms=125561 success=True reward=1.0 steps=33 error=None
2026-09-06T05:05:03Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=3 seed=4 duration_ms=198549 success=False reward=0.0 steps=50 error=None
2026-09-06T05:05:25Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=10 seed=4 duration_ms=98961 success=True reward=1.0 steps=25 error=None
2026-09-06T05:05:57Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=12 seed=4 duration_ms=58240 success=True reward=1.0 steps=17 error=None
2026-09-06T05:05:58Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=7 seed=4 duration_ms=182732 success=False reward=0.0 steps=50 error=None
2026-09-06T05:06:08Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=9 seed=4 duration_ms=144885 success=True reward=1.0 steps=37 error=None
2026-09-06T05:07:06Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=14 seed=4 duration_ms=100715 success=True reward=1.0 steps=28 error=None
2026-09-06T05:07:24Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=15 seed=4 duration_ms=87504 success=True reward=1.0 steps=24 error=None
2026-09-06T05:07:30Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=11 seed=4 duration_ms=177390 success=False reward=0.0 steps=50 error=None
2026-09-06T05:08:11Z rollout_done  iteration_id=baseline-0004 attempt=0 candidate_id=baseline rollout=13 seed=4 duration_ms=188590 success=False reward=0.0 steps=50 error=None
2026-09-06T05:08:11Z p1_task_done  task_idx=4 task_id=4 k=16 sr=0.75 n_errors=0 wall_s=387.2
2026-09-06T05:08:52Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=5 seed=5 duration_ms=40395 success=True reward=1.0 steps=14 error=None
2026-09-06T05:09:54Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=2 seed=5 duration_ms=102966 success=True reward=1.0 steps=40 error=None
2026-09-06T05:09:57Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=0 seed=5 duration_ms=105448 success=True reward=1.0 steps=39 error=None
2026-09-06T05:09:57Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=3 seed=5 duration_ms=105960 success=True reward=1.0 steps=41 error=None
2026-09-06T05:09:58Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=1 seed=5 duration_ms=107340 success=True reward=1.0 steps=40 error=None
2026-09-06T05:10:42Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=4 seed=5 duration_ms=151231 success=False reward=0.0 steps=50 error=None
2026-09-06T05:11:06Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=6 seed=5 duration_ms=134428 success=True reward=1.0 steps=43 error=None
2026-09-06T05:11:44Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=8 seed=5 duration_ms=107119 success=True reward=1.0 steps=40 error=None
2026-09-06T05:11:46Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=9 seed=5 duration_ms=108697 success=True reward=1.0 steps=40 error=None
2026-09-06T05:12:26Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=7 seed=5 duration_ms=151809 success=False reward=0.0 steps=50 error=None
2026-09-06T05:12:57Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=12 seed=5 duration_ms=111459 success=True reward=1.0 steps=40 error=None
2026-09-06T05:13:01Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=10 seed=5 duration_ms=182797 success=False reward=0.0 steps=50 error=None
2026-09-06T05:13:15Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=11 seed=5 duration_ms=152610 success=False reward=0.0 steps=50 error=None
2026-09-06T05:13:40Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=14 seed=5 duration_ms=114510 success=True reward=1.0 steps=43 error=None
2026-09-06T05:14:13Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=13 seed=5 duration_ms=149288 success=False reward=0.0 steps=50 error=None
2026-09-06T05:14:54Z rollout_done  iteration_id=baseline-0005 attempt=0 candidate_id=baseline rollout=15 seed=5 duration_ms=147582 success=False reward=0.0 steps=50 error=None
2026-09-06T05:14:54Z p1_task_done  task_idx=5 task_id=5 k=16 sr=0.625 n_errors=0 wall_s=402.4
2026-09-06T05:15:54Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=3 seed=6 duration_ms=60767 success=True reward=1.0 steps=18 error=None
2026-09-06T05:16:42Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=4 seed=6 duration_ms=108276 success=True reward=1.0 steps=29 error=None
2026-09-06T05:16:50Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=1 seed=6 duration_ms=116206 success=True reward=1.0 steps=36 error=None
2026-09-06T05:17:45Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=2 seed=6 duration_ms=171918 success=False reward=0.0 steps=50 error=None
2026-09-06T05:18:04Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=5 seed=6 duration_ms=190772 success=True reward=1.0 steps=50 error=None
2026-09-06T05:18:14Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=0 seed=6 duration_ms=200899 success=False reward=0.0 steps=50 error=None
2026-09-06T05:18:48Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=6 seed=6 duration_ms=173610 success=False reward=0.0 steps=50 error=None
2026-09-06T05:19:40Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=7 seed=6 duration_ms=178551 success=False reward=0.0 steps=50 error=None
2026-09-06T05:19:44Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=8 seed=6 duration_ms=174672 success=False reward=0.0 steps=50 error=None
2026-09-06T05:19:54Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=11 seed=6 duration_ms=99706 success=True reward=1.0 steps=30 error=None
2026-09-06T05:20:29Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=9 seed=6 duration_ms=163505 success=True reward=1.0 steps=44 error=None
2026-09-06T05:20:39Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=10 seed=6 duration_ms=154435 success=False reward=0.0 steps=50 error=None
2026-09-06T05:21:01Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=14 seed=6 duration_ms=77104 success=True reward=1.0 steps=21 error=None
2026-09-06T05:21:19Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=15 seed=6 duration_ms=85270 success=True reward=1.0 steps=24 error=None
2026-09-06T05:22:06Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=12 seed=6 duration_ms=198025 success=False reward=0.0 steps=50 error=None
2026-09-06T05:22:52Z rollout_done  iteration_id=baseline-0006 attempt=0 candidate_id=baseline rollout=13 seed=6 duration_ms=191857 success=False reward=0.0 steps=50 error=None
2026-09-06T05:22:52Z p1_task_done  task_idx=6 task_id=6 k=16 sr=0.5 n_errors=0 wall_s=478.7
2026-09-06T05:23:12Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=1 seed=7 duration_ms=20181 success=True reward=1.0 steps=6 error=None
2026-09-06T05:23:15Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=2 seed=7 duration_ms=23190 success=True reward=1.0 steps=7 error=None
2026-09-06T05:23:31Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=7 seed=7 duration_ms=15907 success=True reward=1.0 steps=5 error=None
2026-09-06T05:23:31Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=4 seed=7 duration_ms=39115 success=True reward=1.0 steps=14 error=None
2026-09-06T05:23:43Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=5 seed=7 duration_ms=51026 success=True reward=1.0 steps=19 error=None
2026-09-06T05:23:44Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=0 seed=7 duration_ms=51478 success=True reward=1.0 steps=19 error=None
2026-09-06T05:23:47Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=8 seed=7 duration_ms=15819 success=True reward=1.0 steps=5 error=None
2026-09-06T05:23:50Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=3 seed=7 duration_ms=57907 success=True reward=1.0 steps=22 error=None
2026-09-06T05:23:52Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=9 seed=7 duration_ms=20629 success=True reward=1.0 steps=7 error=None
2026-09-06T05:24:04Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=12 seed=7 duration_ms=16984 success=True reward=1.0 steps=5 error=None
2026-09-06T05:24:04Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=10 seed=7 duration_ms=21004 success=True reward=1.0 steps=7 error=None
2026-09-06T05:24:05Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=6 seed=7 duration_ms=52541 success=True reward=1.0 steps=21 error=None
2026-09-06T05:24:06Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=13 seed=7 duration_ms=16274 success=True reward=1.0 steps=5 error=None
2026-09-06T05:24:08Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=14 seed=7 duration_ms=16460 success=True reward=1.0 steps=5 error=None
2026-09-06T05:24:22Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=11 seed=7 duration_ms=38215 success=True reward=1.0 steps=14 error=None
2026-09-06T05:24:23Z rollout_done  iteration_id=baseline-0007 attempt=0 candidate_id=baseline rollout=15 seed=7 duration_ms=18453 success=True reward=1.0 steps=6 error=None
2026-09-06T05:24:23Z p1_task_done  task_idx=7 task_id=7 k=16 sr=1.0 n_errors=0 wall_s=90.4
2026-09-06T05:26:27Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=2 seed=8 duration_ms=124449 success=False reward=0.0 steps=50 error=None
2026-09-06T05:26:31Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=3 seed=8 duration_ms=128890 success=False reward=0.0 steps=50 error=None
2026-09-06T05:26:34Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=1 seed=8 duration_ms=131179 success=False reward=0.0 steps=50 error=None
2026-09-06T05:26:42Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=0 seed=8 duration_ms=139552 success=False reward=0.0 steps=50 error=None
2026-09-06T05:26:45Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=5 seed=8 duration_ms=142792 success=False reward=0.0 steps=50 error=None
2026-09-06T05:27:00Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=4 seed=8 duration_ms=157278 success=False reward=0.0 steps=50 error=None
2026-09-06T05:28:45Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=8 seed=8 duration_ms=131445 success=False reward=0.0 steps=50 error=None
2026-09-06T05:28:53Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=6 seed=8 duration_ms=146236 success=False reward=0.0 steps=50 error=None
2026-09-06T05:28:54Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=11 seed=8 duration_ms=114066 success=False reward=0.0 steps=50 error=None
2026-09-06T05:28:54Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=9 seed=8 duration_ms=131907 success=False reward=0.0 steps=50 error=None
2026-09-06T05:29:08Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=10 seed=8 duration_ms=142350 success=False reward=0.0 steps=50 error=None
2026-09-06T05:29:10Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=7 seed=8 duration_ms=158356 success=False reward=0.0 steps=50 error=None
2026-09-06T05:30:48Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=14 seed=8 duration_ms=113855 success=False reward=0.0 steps=50 error=None
2026-09-06T05:30:50Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=15 seed=8 duration_ms=115599 success=False reward=0.0 steps=50 error=None
2026-09-06T05:31:04Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=13 seed=8 duration_ms=130367 success=False reward=0.0 steps=50 error=None
2026-09-06T05:31:04Z rollout_done  iteration_id=baseline-0008 attempt=0 candidate_id=baseline rollout=12 seed=8 duration_ms=138859 success=False reward=0.0 steps=50 error=None
2026-09-06T05:31:04Z p1_task_done  task_idx=8 task_id=8 k=16 sr=0.0 n_errors=0 wall_s=401.5
2026-09-06T05:33:27Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=3 seed=9 duration_ms=143193 success=False reward=0.0 steps=50 error=None
2026-09-06T05:33:27Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=4 seed=9 duration_ms=143344 success=False reward=0.0 steps=50 error=None
2026-09-06T05:33:28Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=1 seed=9 duration_ms=143603 success=False reward=0.0 steps=50 error=None
2026-09-06T05:33:41Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=2 seed=9 duration_ms=157348 success=False reward=0.0 steps=50 error=None
2026-09-06T05:33:42Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=0 seed=9 duration_ms=158060 success=False reward=0.0 steps=50 error=None
2026-09-06T05:33:56Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=5 seed=9 duration_ms=172386 success=False reward=0.0 steps=50 error=None
2026-09-06T05:35:53Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=7 seed=9 duration_ms=145549 success=False reward=0.0 steps=50 error=None
2026-09-06T05:35:59Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=8 seed=9 duration_ms=151246 success=False reward=0.0 steps=50 error=None
2026-09-06T05:36:02Z rollout_done  iteration_id=baseline-0009 attempt=0 candidate_id=baseline rollout=6 seed=9 duration_ms=155114 success=False reward=0.0 steps=50 error=None
